dog_number,dog_name,dog_walker_email
1,Kim,daniel_walker@gmail.com
2,Amnon,tamar_walker@gmail.com
3,Tamar,tamar_walker@gmail.com
4,Lama,dolev_walker@gmail.com
5,Mia,chen_walker@gmail.com
5,Mia,may_walker@gmail.com
6,Jonny,yuval_walker@gmail.com
7,Clifford,rotem_walker@gmail.com
8,Tiesto,dolev_walker@gmail.com
9,Oliver,daniel_walker@gmail.com
10,Booly,yarden_walker@gmail.com
11,Oscar,yarden_walker@gmail.com
12,Lavi,tamar_walker@gmail.com
13,Jastin,uri_walker@gmail.com
14,Patrik,yotam_walker@gmail.com
15,Sandy,chen_walker@gmail.com
16,Shocho,daniel_walker@gmail.com
17,Gumy,uri_walker@gmail.com
19,Juliet,yarden_walker@gmail.com
20,Romeo,daniel_walker@gmail.com
20,Romeo,yarden_walker@gmail.com
21,George,yuval_walker@gmail.com
22,Avshi,may_walker@gmail.com
23,Bingo,tamar_walker@gmail.com
24,Nur,tamar_walker@gmail.com
27,Boni,may_walker@gmail.com
28,Kim,uri_walker@gmail.com
29,Amnon,yarden_walker@gmail.com
30,Tamar,rotem_walker@gmail.com
